token,aantal,voorbeeld_ids
waa,100,p66-07; p73-02; p73-03
tɛawed,1,p135-09
tesra,1,p135-10
neccuxrut,1,p135-10
xenni,1,p135-11
belli,1,p135-11
tettes,1,p135-12
twaratin,1,p135-13
ttraɣa,1,p135-13
ttiseɣ,1,p136-01
ca.',1,p136-01
Uca,1,p136-02
tsiɣi,1,p136-02
txezzar,1,p136-07
nteggwed,1,p136-08
ḥazit,1,p136-08
yemaɣa,1,p136-09
yemsennad,1,p136-10
tmeḥtac,1,p136-10
tmezwarut,1,p137-01
Tenni,1,p137-07
taneggarut,1,p137-07
yetɛesses,1,p137-10
yennuffaa,1,p137-10
yesḥessa,1,p137-10
ɣaasent,1,p137-10
yexdeb,1,p137-11
tamezwarut,1,p137-11
tenni',1,p137-12
Ixedb,1,p138-01
uhuri,1,p138-02
tekmer,1,p138-02
Teǧm,1,p138-03
tqaadc,1,p138-03
tzery,1,p138-03
uqubbu,1,p138-04
lɛawed,1,p138-06
Yiwi,1,p138-07
yiaden,1,p138-09
Thaay,1,p138-10
tssiff,1,p138-10
taneɣda,1,p138-12
tratac,1,p138-13
Taneggarut,1,p139-01
Yiwy,1,p139-03
yetɛayan,1,p139-03
Yetɛayan,1,p139-04
yiwed,1,p139-05
tsɛe,1,p139-05
chua,1,p139-05
tzeyyed,1,p139-05
ɣiant,1,p139-07
Xyaa,1,p139-08
nenna,1,p139-09
neggi,1,p139-09
tefder,1,p139-09
tekk,1,p139-10
neqqar,1,p139-11
ttettaa,1,p139-11
meskina,1,p139-12
mix,1,p139-12
tejja,1,p139-12
tesxef,1,p139-12
Wsint,1,p139-13
tehru,1,p139-13
sfesyent,1,p139-13
teggent,1,p140-01
teshed,1,p140-01
ttekk,1,p140-01
Ksint,1,p140-02
tmeɛɛec,1,p140-02
turn,1,p140-03
tendaa,1,p140-04
tessyem,1,p140-04
tesseymed,1,p140-05
ewcentt,1,p140-06
qessent,1,p140-08
Ggint,1,p140-10
sseḥnunndent,1,p140-11
tkettanin,1,p140-11
Tsseḥnunnd,1,p140-12
teksi,1,p140-12
mbeɛd,1,p141-02
twaran,1,p141-02
sekkaant,1,p141-02
Aaaaa,1,p141-03
nerha,1,p141-04
neccuds,1,p141-04
nennd,1,p141-04
Ssekkaant,1,p141-06
Yqqggweḥ,1,p141-07
yejjin,1,p141-08
yessekk,1,p141-10
udewwaa,1,p141-10
Yenna,1,p141-11
yekhs,1,p141-12
yesyaad,1,p141-13
werɣem,1,p142-02
ruḥus,1,p142-02
yesmuna,1,p142-03
Yesmun,1,p142-04
ttras,1,p142-04
Tesseym,1,p142-07
yaabba,1,p142-09
ttraaak,1,p142-12
twessaat,1,p142-13
iqerb,1,p142-13
ttfewwaa,1,p143-01
lqerb,1,p143-02
tseyyḥ,1,p143-02
Teffeɣ,1,p143-02
yeggin,1,p143-03
Ttedɛa,1,p143-04
ttekkwua,1,p143-04
Nnan,1,p143-04
iḥenjian,1,p143-04
qad,1,p143-05
srasenn,1,p143-07
tseym,1,p143-08
Yqqggweh,1,p143-10
ixeyyeq,1,p143-10
yesseymen,1,p143-11
uḥaabid,1,p143-12
Xemmi,1,p144-03
yengw,1,p144-03
tfarraɣ,1,p144-03
tekks,1,p144-07
Kks,1,p144-08
Tekks,1,p144-09
teyduat,1,p144-10
truḥ,1,p144-11
tegg,1,p144-11
tidet,1,p144-12
tmeɛɛceɣ,1,p145-02
Nnant,1,p145-03
tendar,1,p145-03
tesyem,1,p145-03
Ysiɣ,1,p145-04
sseymeɣ,1,p145-04
yeggwez,1,p145-06
Yettef,1,p145-07
aazuɣ,1,p145-08
iqaan,1,p145-09
Yeggwua,1,p145-11
zarren,1,p145-11
ntesra,1,p146-03
Maca,1,p146-03
yemserqan,1,p146-05
mmis,1,p146-08
yuyua,1,p146-09
taawes,1,p146-09
uqemmum,1,p146-10
srasen,1,p146-11
Cciɣ,1,p147-02
cciɣ,1,p147-02
rɛebd,1,p147-03
ssix,1,p147-03
iweqɛen,1,p147-05
ggin,1,p147-06
mant,1,p147-06
kidem,1,p147-08
yessens,1,p147-08
Uah,1,p147-10
Cem,1,p147-12
dfaaɣ,1,p147-12
sscn,1,p148-01
yendeh,1,p148-02
Ggwuan,1,p148-03
Iwden,1,p148-03
yaazzu,1,p148-04
xak,1,p148-04
azedzid,1,p148-05
Min,1,p148-06
yecqan,1,p148-06
Ttaaɣ,1,p148-07
tessensed,1,p148-08
Yessidf,1,p148-11
Ussa,1,p148-12
Yegg,1,p148-13
Udfen,1,p148-13
Yudef,1,p148-14
yessidf,1,p148-14
Swejdent,1,p149-08
swejdent,1,p149-08
tayywin,1,p149-09
raɣant,1,p149-09
Yeysi,1,p149-10
usutaa,1,p149-11
tejjed,1,p149-13
tqarreb,1,p150-01
wendu,1,p150-01
ttqqk,1,p150-02
Tin,1,p150-03
tessutaad,1,p150-05
Yesqarrb,1,p150-06
Tqarreb,1,p150-07
ucaccu,1,p150-07
yirem,1,p150-07
Tesqarrb,1,p150-09
Iwyeɣ,1,p150-12
ruḥent,1,p150-12
ffɣent,1,p150-13
Faaheɣ,1,p151-05
uneggaru,1,p151-05
ssesneɣɣ,1,p151-09
ixessen,1,p152-01
Yessecn,1,p152-02
qqbɛa,1,p152-02
Yekkes,1,p152-03
arrezzet,1,p152-03
tewta,1,p152-03
tfawkt,1,p152-03
idarrɛ,1,p152-04
Bdan,1,p152-04
tetru,1,p152-05
Arami,1,p152-06
hayan,1,p152-06
Yesseḥma,1,p152-07
neqqaa,1,p152-08
Iruḥ,1,p152-09
yesseḥma,1,p152-10
yessiad,1,p152-10
tina,1,p152-11
yiraan,1,p152-12
zaysent,1,p152-13
iraaɣ,1,p152-13
iraant,1,p152-13
Yettf,1,p153-01
yesmun,1,p153-01
imuzaan,1,p153-01
aceɛɛua,1,p153-01
lmud,1,p153-02
Yessaawet,1,p153-05
rgeedet,1,p153-05
tazeggwaat,1,p153-05
Itazzer,1,p153-08
ucewwaf,1,p153-08
nsent,1,p153-09
tzeggwaat,1,p153-09
Tekmer,1,p153-10
tadfeɣ,1,p154-01
marrat,1,p154-02
ntegg,1,p154-03
nessawar,1,p154-03
nessfehham,1,p154-04
tḥanet,1,p154-05
nuḥ,1,p154-05
nessiwer,1,p154-06
ntaf,1,p154-06
ixeddamen,1,p154-06
iqqar,1,p154-07
xeddmeɣ,1,p154-07
uuzu,1,p154-08
tanejjaat,1,p154-08
tɛellem,1,p154-09
sseneet,1,p154-09
yfellsen,1,p154-12
l’umma,1,p154-12
l’islam,1,p154-12
ssaḥifa,1,p154-12
iḥaseb,1,p155-01
yawm,1,p155-01
lqiyyama,1,p155-01
cḥaa,1,p155-04
sedzmeɣ,1,p155-05
ggiɣ,1,p155-05
tadeḥḥact,1,p155-05
ixessa,1,p155-06
wecraf,1,p155-08
tenyaat,1,p155-08
llin,1,p155-10
egg,1,p155-11
itebs,1,p155-12
array,1,p155-12
yeggi,1,p155-13
li’anna,1,p156-01
yetxellat,1,p156-01
teggwdem,1,p156-02
weḥdes,1,p156-03
maydanu,1,p156-04
tssedhaad,1,p156-04
jjhed,1,p156-04
tewted,1,p156-06
tjahded,1,p156-06
yaytma,1,p156-07
temzyida,1,p156-07
ntxellit,1,p156-10
narr,1,p156-11
ncaaf,1,p156-11
tanyaat,1,p156-11
ntɛesseb,1,p156-12
ssiwreɣ,1,p157-02
mxiyyaa,1,p157-06
tanita,1,p157-06
harrdeɣ,1,p157-06
yetharred,1,p157-07
tessnem,1,p157-08
imejjan,1,p157-09
serḥ,1,p157-11
beddr,1,p157-12
reḥsah,1,p158-01
cencuna,1,p158-02
lfuzzaa,1,p158-04
yeqqaan,1,p158-05
yetɛemmaan,1,p158-05
yessn,1,p158-07
lmanakir,1,p158-08
yehrin,1,p158-09
ssedḥiɣ,1,p158-10
tacemratc,1,p158-11
fehmet,1,p158-12
nzarr,1,p159-01
hettaaɣ,1,p159-02
wuraan,1,p159-02
sala,1,p159-04
tariq,1,p159-05
tmenɛed,1,p159-06
ujeǧif,1,p159-06
zzaman,1,p159-07
ntɛic,1,p159-07
temɣarin/,1,p159-09
itewqiɛen,1,p159-10
ɛaadeɣ,1,p159-11
yiwyen,1,p159-12
iwyent,1,p159-13
imedyazen,1,p159-13
tɣennjen,1,p160-02
cetthen,1,p160-02
sbaaɣ,1,p160-03
tet,1,p160-05
udfeɣ,1,p160-06
ksiɣ,1,p160-06
aaḥ,1,p160-07
nemneɛ,1,p160-07
ddaan,1,p160-07
tmunsiwen,1,p160-08
taziraat,1,p160-10
wanitati,1,p160-11
ljara’im,1,p160-11
timeqqranin,1,p160-11
yina,1,p160-12
yehda,1,p160-13
yessbeɛɛed,1,p161-01
ijz,1,p161-03
akis,1,p161-04
tenneqrek,1,p161-06
txeddem,1,p161-08
kksen,1,p161-09
ufin,1,p161-09
niwy,1,p161-11
txeddmed,1,p161-12
sseqsix,1,p162-01
sseqsiɣ,1,p162-02
yarḥem,1,p162-02
tessned.',1,p162-02
Nniɣ,1,p162-03
uuzzuɣ,1,p162-06
meɛrufin,1,p162-09
sbar,1,p162-10
teggua,1,p162-11
kasitat,1,p162-11
yerḥem,1,p162-12
sintat,1,p162-13
zznuzam,1,p162-13
ɛawd,1,p163-01
yemmuten,1,p163-03
iwaren,1,p163-04
yessiwed,1,p163-05
salat,1,p163-06
tmenɣiɣ,1,p163-08
taazzuɣ,1,p163-08
wettan,1,p163-09
imettawen,1,p163-09
tsejjal,1,p163-10
zznuza,1,p163-12
yetbedda,1,p163-14
lmanam,1,p163-14
ɛawn,1,p164-01
itub,1,p164-02
sid,1,p164-03
yesreh,1,p164-03
yeḥfed,1,p164-04
yessaa,1,p164-04
nenteq,1,p164-05
nekkes,1,p164-06
axeyyeq,1,p164-06
nebdi,1,p164-07
nexzaa,1,p164-08
ntawy,1,p164-08
ntiwi,1,p164-08
rqiɣ,1,p164-09
ssruɣ,1,p164-09
ttuɣ,1,p164-10
ḥesbeɣ,1,p165-01
mmerqiɣ,1,p165-02
iru,1,p165-02
qqbbi,1,p165-03
isemmeh,1,p165-03
fesqef,1,p165-04
iseyyeh,1,p165-04
rbar,1,p165-05
arriɣalu,1,p165-06
iraḥen,1,p165-08
itran,1,p165-09
siwdem,1,p165-10
ssram,1,p165-10
yettun,1,p165-10
ttebriɣ,1,p165-11
icedden,1,p166-01
ccayatin,1,p166-01
qettiɣ,1,p166-02
rmaasa,1,p166-04
isebbaa,1,p166-05
wehd,1,p166-07
yugi,1,p167-02
yehna,1,p167-02
mebruk,1,p167-03
ntedɛa,1,p167-04
akidem,1,p167-04
taqedduḥt,1,p167-05
danun,1,p167-05
yewci,1,p167-06
talimaniyyet,1,p167-07
sellm,1,p167-08
char,1,p167-08
yuɣin,1,p167-09
ixeddem,1,p167-09
dayem,1,p167-10
tenna,1,p167-11
isekkaa,1,p167-11
yescaa,1,p168-01
ɣarrabu,1,p168-02
tayujic,1,p168-03
slikum,1,p168-04
elikum,1,p168-05
teǧid,1,p168-06
sseḥḥet,1,p169-03
barek,1,p169-06
llahu,1,p169-06
fik,1,p169-06
ttɛawaded,1,p169-07
ttwarid,1,p169-08
tessawared,1,p169-12
ɣrix,1,p170-03
ljamiɛa,1,p170-03
Patrik,1,p170-06
Mariya,1,p170-06
tnayn,1,p171-01
ɛisrin,1,p171-01
nemzaa,1,p171-02
yewti,1,p171-07
wenzaa,1,p171-08
yewwet,1,p171-09
cceɣ,1,p172-04
iserman,1,p172-04
tiɣra,1,p172-07
yaaxes,1,p172-08
teswed,1,p173-03
tasemmat,1,p173-04
nuyua,1,p173-06
ttar,1,p173-07
awy,1,p173-08
yehdi,1,p173-08
iɛawen,1,p173-10
yewqɛen,1,p174-02
tewqeɛ,1,p174-04
wezɣenɣan,1,p174-04
ibelleɛ,1,p174-06
immut,1,p174-07
msakin,1,p174-08
yesḥaaq,1,p174-10
tudef,1,p174-10
ɛini,1,p174-11
yaaḥem,1,p174-11
ttḥawar,1,p174-12
ttumubinat,1,p174-12
yewseɛ,1,p174-13
uqedduḥ,1,p174-13
sqiɣ,1,p195-01
itxess,1,p203-01
swen,1,p203-01
iɛizz,1,p205-01
xasen,1,p205-01
itaɛjeb,1,p205-02
iaɛjeb,1,p205-03
