Tarifit (Izran),Normalized,Freq,Categorie,Voorbeeld (Tarifit),Vertaling-hint (NL),Vers#,→ TOEVOEGEN? (ja / nee / variant),Nederlands,Niveau (A1-C2),Woordsoort
wenẓar,wenẓar,2,ONBEKEND,Ssenseɣ di baṛṛa iccat xafi wenẓar.,"Mijn hart verlangde naar je en ik had het niet kunnen dromen,","4,28",,,,
akidar,akidar,2,ONBEKEND,jjent ayi a t awyeɣ a t arreɣ d akidar.,"Mijn hart verlangde naar je en ik had het niet kunnen dromen,",4,,,,
qqaren,qqaren,2,ONBEKEND,"A taddart tameqqrant war dji qqaren t i řeswaṛ,","Mijn hart verlangde naar je en ik had het niet kunnen dromen,",4,,,,
ufiřu,ufiřu,2,ONBEKEND,"Dewřeɣ am ufiřu ɛla sibbat nnem,","Mijn hart verlangde naar je en ik had het niet kunnen dromen,","4,7",,,,
řeɛdab,řeɛdab,2,ONBEKEND,tejjid ayi di řeɛdab i řebda d aneqsi.,"Houd op met huilen, niemand gelooft je,","5,12",,,,
temẓi,temẓi,2,ONBEKEND,"Ixs icem wuř inu ixs icem zi temẓi,","Houd op met huilen, niemand gelooft je,","5,31",,,,
tenkaṛed,tenkaṛed,2,ONBEKEND,"Ddɛiɣ cem ɣar aṛebbi rami dayi tenkaṛed,","Houd op met huilen, niemand gelooft je,",5,,,,
yegg,yegg,2,ONBEKEND,min ɣa yegg aṛebbi necc a zzayes qebřeɣ.,"Ik vroeg haar verkering, zij zei: ik kan niet.","6,49",,,,
zzayes,zzayes,2,ONBEKEND,min ɣa yegg aṛebbi necc a zzayes qebřeɣ.,"Ik vroeg haar verkering, zij zei: ik kan niet.","6,35",,,,
aṛṛbiɛ,aṛṛbiɛ,2,ONBEKEND,"Abrid n ṭṭumubin aṛṛbiɛ ssa d ssa,","Ik vroeg haar verkering, zij zei: ik kan niet.","6,45",,,,
texsed,texsed,2,ONBEKEND,bulanṭi degg ufus nnec ndeh mani texsed.,"Ik vroeg haar verkering, zij zei: ik kan niet.","6,22",,,,
sidi,sidi,2,ONBEKEND,"Sidi ɛři n Naḍur a lmarsa n teḥramin,","Ik vroeg haar verkering, zij zei: ik kan niet.","6,41",,,,
iṣebbar,iṣebbar,2,ONBEKEND,ad iṣebbar ṛebbi uř inu meskin.,"Ik vroeg haar verkering, zij zei: ik kan niet.","6,10",,,,
icedden,icedden,2,ONBEKEND,min xafi icedden tinni n cayaṭin?,"Ik kan de slaap niet vatten, ben verslaafd aan cocaїne,","7,31",,,,
ssawařen,ssawařen,2,ONBEKEND,iwdan ssawařen di ddat inu tesřiɣ.,"Ik kan de slaap niet vatten, ben verslaafd aan cocaїne,","7,20",,,,
ẓriɣ,ẓriɣ,2,ONBEKEND,"A hwa dd a llif hwa dd teřt iyyam war cek ẓriɣ,","Ik kan de slaap niet vatten, ben verslaafd aan cocaїne,","7,31",,,,
ssukar,ssukar,2,ONBEKEND,"Kilu n ssukar a llif ma d awař,","Ik kan de slaap niet vatten, ben verslaafd aan cocaїne,","7,34",,,,
yettu,yettu,2,ONBEKEND,awyem as ca n zzin minzi dayi ɣa yettu.,"Hij gaf me een ring zo smal als een doorn,","8,9",,,,
tifawin,tifawin,2,ONBEKEND,"Ad hwiɣ Nnaḍur ad sarɣeɣ tifawin,","Hij gaf me een ring zo smal als een doorn,","8,49",,,,
tiɣufawin,tiɣufawin,2,ONBEKEND,aqa c lḥub nnec igga ayi tiɣufawin.,"Hij gaf me een ring zo smal als een doorn,","8,49",,,,
mayen,mayen,2,ONBEKEND,itqaṛṛab ɣar tmessi war yessin mayen din.,"Ik ga zitten waar hij altijd zit,","9,11",,,,
mucewwaf,mucewwaf,2,ONBEKEND,"Mucewwaf azirar iseɣwan n wanu,","Ik ga zitten waar hij altijd zit,",9,,,,
azirar,azirar,2,ONBEKEND,"Mucewwaf azirar iseɣwan n wanu,","Ik ga zitten waar hij altijd zit,",9,,,,
tawyed,tawyed,2,ONBEKEND,a řefqih n temziyda a zzayi tawyed ddnub.,"O mijn haren die worden meegenomen in de broekzakken,","10,22",,,,
uzeřmaḍ,uzeřmaḍ,2,ONBEKEND,"Tsaɛɛat n uzeřmaḍ arr it ɣar ufusi,","O mijn haren die worden meegenomen in de broekzakken,","10,15",,,,
ufusi,ufusi,2,ONBEKEND,"Tsaɛɛat n uzeřmaḍ arr it ɣar ufusi,","O mijn haren die worden meegenomen in de broekzakken,","10,15",,,,
ucař,ucař,2,ONBEKEND,"Arwaḥ a nemɛahed sadu weẓru d ucař,","O mijn haren die worden meegenomen in de broekzakken,","10,48",,,,
ɣars,ɣars,2,ONBEKEND,wen ixedɛen řɛahed war ɣars bu wawař.,"O mijn haren die worden meegenomen in de broekzakken,","10,49",,,,
tasebnect,tasebnect,2,ONBEKEND,"Tasebnect tazeggwaɣt weḷḷah war qqineɣ,","O mijn haren die worden meegenomen in de broekzakken,","10,25",,,,
tazeggwaɣt,tazeggwaɣt,2,ONBEKEND,"Tasebnect tazeggwaɣt weḷḷah war qqineɣ,","O mijn haren die worden meegenomen in de broekzakken,","10,32",,,,
mayenzi,mayenzi,2,ONBEKEND,ixs icem wuř inu war ɣari mayenzi.,"O rijpe granaatappel in een omheinde boomgaard,","11,17",,,,
tiři,tiři,2,ONBEKEND,"Ad raḥeɣ ad qqimeɣ di tiři n uɣudani,","O rijpe granaatappel in een omheinde boomgaard,",11,,,,
tecsid,tecsid,2,ONBEKEND,a necc teẓrid ayi tecsid ayi tiweṣṣaf.,"O rijpe granaatappel in een omheinde boomgaard,","11,47",,,,
uqemmum,uqemmum,2,ONBEKEND,a buřɛib n uqemmum inni y as a xafi yenḥed.,"O mijn lief die onder de lantaarnpaal staat,","12,18",,,,
inni,inni,2,ONBEKEND,a buřɛib n uqemmum inni y as a xafi yenḥed.,"O mijn lief die onder de lantaarnpaal staat,","12,34",,,,
isemmeḥ,isemmeḥ,2,ONBEKEND,"Mařa truḥed aḷiman ṛebbi war dac isemmeḥ,","O mijn lief die onder de lantaarnpaal staat,","12,17",,,,
ɛqeb,ɛqeb,2,ONBEKEND,ɛqeb dd a llif ɛqeb dd řɛahed a cek ifelles.,"Als je een jurk om mijn lijf was,",13,,,,
cemm,cemm,2,ONBEKEND,a yenna ayi qebřeɣ cemm nnehřa.,"Als je een jurk om mijn lijf was,","13,27",,,,
nnehřa,nnehřa,2,ONBEKEND,a yenna ayi qebřeɣ cemm nnehřa.,"Als je een jurk om mijn lijf was,","13,39",,,,
newca,newca,2,ONBEKEND,"A řɛahed nni newca deg umrabeḍ ihedmen,","Als je een jurk om mijn lijf was,","13,15",,,,
xuya,xuya,2,ONBEKEND,"A xuya llif inu a taneqqit n uyur,","Als je een jurk om mijn lijf was,","13,46",,,,
uyur,uyur,2,ONBEKEND,"A xuya llif inu a taneqqit n uyur,","Als je een jurk om mijn lijf was,","13,43",,,,
tenɛac,tenɛac,2,ONBEKEND,ɣar tenɛac n tmeddit kk dd xafi a nuyur.,"Als je een jurk om mijn lijf was,","13,14",,,,
semḥ,semḥ,2,ONBEKEND,icsi dd maliṭa inna ayi semḥ ayi.,"Ik wilde niet huilen, maar toch liet hij me huilen,","14,46",,,,
kkiɣ,kkiɣ,2,ONBEKEND,"Kkiɣ sadu wuṛtu ḥesbeɣ tifray nnes,","Ik wilde niet huilen, maar toch liet hij me huilen,","14,17",,,,
agřa,agřa,2,ONBEKEND,agřa n baba tecc itt d icemsan n qawit.,"Ik wilde niet huilen, maar toch liet hij me huilen,",14,,,,
tecc,tecc,2,ONBEKEND,agřa n baba tecc itt d icemsan n qawit.,"Ik wilde niet huilen, maar toch liet hij me huilen,",14,,,,
ntawy,ntawy,2,ONBEKEND,necc d mami ynu ntawy tt d ulabas.,"Het nylon overhemd, de ene draad na de andere,","15,29",,,,
ssbaḥ,ssbaḥ,2,ONBEKEND,lḥub nni n ssbaḥ arr it ɣar uɛecci.,"Het nylon overhemd, de ene draad na de andere,","15,24",,,,
temceṭt,temceṭt,2,ONBEKEND,"Mami leɛziz inu a yabřiwen n temceṭt,","Het nylon overhemd, de ene draad na de andere,","15,27",,,,
asari,asari,2,ONBEKEND,mami akidec asari akidec anecceṭ.,"Het nylon overhemd, de ene draad na de andere,","15,27",,,,
anecceṭ,anecceṭ,2,ONBEKEND,mami akidec asari akidec anecceṭ.,"Het nylon overhemd, de ene draad na de andere,","15,27",,,,
tewwaṛt,tewwaṛt,2,ONBEKEND,"Beddeɣ di tewwaṛt yenna ayi dd a mnwaḍar,","Kom maar langs liefje en schroom niet,","16,29",,,,
tateffaḥt,tateffaḥt,2,ONBEKEND,yenn ayi dd a tateffaḥt itnennan s rxaḍar.,"Kom maar langs liefje en schroom niet,","16,32",,,,
ufiɣ,ufiɣ,2,ONBEKEND,"Kkiɣ dd ɣar temziyda ufiɣ ṭṭeřba munen,","Kom langs liefje, kom opzettelijk langs,","17,19",,,,
ṭṭeřba,ṭṭeřba,2,ONBEKEND,"Kkiɣ dd ɣar temziyda ufiɣ ṭṭeřba munen,","Kom langs liefje, kom opzettelijk langs,","17,23",,,,
ḍweɣ,ḍweɣ,2,ONBEKEND,řalla yemma dewřeɣ d taɛejjajt ad ḍweɣ.,"Kom langs liefje, kom opzettelijk langs,","17,22",,,,
rewweḥ,rewweḥ,2,ONBEKEND,"rewweḥ dd a wma rewweḥ dd, aḷiman ma yesɣ ic?","O Duitsland dat omringd wordt door prikkeldraad,",18,,,,
labas,labas,2,ONBEKEND,ssqadiɣ tent u labas ɣriɣ i manaya.,"O Duitsland dat omringd wordt door prikkeldraad,","18,19",,,,
manaya,manaya,2,ONBEKEND,ssqadiɣ tent u labas ɣriɣ i manaya.,"O Duitsland dat omringd wordt door prikkeldraad,","18,38",,,,
yeggi,yeggi,2,ONBEKEND,"Yenna ayi ad am ggeɣ min war dam yeggi baba-m,","O Duitsland dat omringd wordt door prikkeldraad,","18,26",,,,
ttesriḥ,ttesriḥ,2,ONBEKEND,ad am ggeɣ ttesriḥ a traḥed aḷiman.,"O Duitsland dat omringd wordt door prikkeldraad,","18,24",,,,
wejda,wejda,2,ONBEKEND,"Taharkust tacemřatc i dd yusin zi wejda,","O Duitsland dat omringd wordt door prikkeldraad,","18,19",,,,
ṭṭařeb,ṭṭařeb,2,ONBEKEND,"Ad ṛaḥeɣ ad sseqsiɣ ṭṭařeb di wejda,",Ik ga het aan een Koranstudent in Oujda vragen:,19,,,,
idurar,idurar,2,ONBEKEND,yekk dd jar idurar itceɛciɛ am řkas.,Ik ga het aan een Koranstudent in Oujda vragen:,"19,32",,,,
miḍar,miḍar,2,ONBEKEND,"Beddeɣ di tewwařt řaɣiɣ ɣar miḍar,",Ik ga het aan een Koranstudent in Oujda vragen:,"19,28",,,,
yeqqs,yeqqs,2,ONBEKEND,"Yeqqs ayi uzedjif qqneɣ as řɛamaṛ,",Ik ga het aan een Koranstudent in Oujda vragen:,19,,,,
mecciki,mecciki,2,ONBEKEND,tamcunt n mecciki texs ayi tawi ɛumaṛ.,Ik ga het aan een Koranstudent in Oujda vragen:,19,,,,
texs,texs,2,ONBEKEND,tamcunt n mecciki texs ayi tawi ɛumaṛ.,Ik ga het aan een Koranstudent in Oujda vragen:,19,,,,
tufid,tufid,2,ONBEKEND,"Iwa ya llif iwa tufid aṛṛay nnec,","Nou mijn lieve schat, je doet wat je wilt,","20,41",,,,
asen,asen,2,ONBEKEND,řebɛad n yiwdan ad asen qqḍeɣ lisanes.,"Nou mijn lieve schat, je doet wat je wilt,",20,,,,
timessi,timessi,2,ONBEKEND,řebɛad n yiwdan ad asen qqḍeɣ timessi.,"Nou mijn lieve schat, je doet wat je wilt,","20,38",,,,
muɛessa,muɛessa,2,ONBEKEND,muɛessa ad tiřid mami d azyen inu?,"Nou mijn lieve schat, je doet wat je wilt,","20,46",,,,
jjaj,jjaj,2,ONBEKEND,ad wḍiɣ x aṛṛiḍa wenni xef cciɣ jjaj.,"Hij zei: o liefje ik verbied je naar Duitsland te gaan,","21,46",,,,
yexsen,yexsen,2,ONBEKEND,"Wi yexsen ad yini yini yecsi řeɛram degg fus,","Hij zei: o liefje ik verbied je naar Duitsland te gaan,","21,47",,,,
yini,yini,2,ONBEKEND,"Wi yexsen ad yini yini yecsi řeɛram degg fus,","Hij zei: o liefje ik verbied je naar Duitsland te gaan,",21,,,,
yecsi,yecsi,2,ONBEKEND,"Wi yexsen ad yini yini yecsi řeɛram degg fus,","Hij zei: o liefje ik verbied je naar Duitsland te gaan,","21,38",,,,
řeɛram,řeɛram,2,ONBEKEND,"Wi yexsen ad yini yini yecsi řeɛram degg fus,","Hij zei: o liefje ik verbied je naar Duitsland te gaan,","21,32",,,,
ufin,ufin,2,ONBEKEND,"Uḥřen iwdan nnan war ufin min nnan,","Hij zei: o liefje ik verbied je naar Duitsland te gaan,","21,43",,,,
mana,mana,2,ONBEKEND,ḷḷah mana řeɣyar di nnwaṛ n benneɛman?,"Hij zei: o liefje ik verbied je naar Duitsland te gaan,","21,49",,,,
webrid,webrid,2,ONBEKEND,"Maṃi leɛziz inu x webrid n řeɛraṣi,","Hij zei: o liefje ik verbied je naar Duitsland te gaan,","21,48",,,,
tafed,tafed,2,ONBEKEND,mařa teqqimed ař imař muḥar ma ayi tafed da.,"Als je met me wilt trouwen, dan dit jaar mijn schat,","22,25",,,,
yeqqim,yeqqim,2,ONBEKEND,"Yus dd unexḍab yeqqim degg usqif,","Als je met me wilt trouwen, dan dit jaar mijn schat,","22,26",,,,
tira,tira,2,ONBEKEND,"Tira n ṭṭeřba qa war dayi hezzent,","De voorspelling van de heiligen doet mij niets,",23,,,,
tamziyda,tamziyda,2,ONBEKEND,"A řalla tamziyda ad am ḥenceɣ ttaṛf,","De voorspelling van de heiligen doet mij niets,","23,47",,,,
tecsi,tecsi,2,ONBEKEND,řami teggid urar ma tecsi dd ttesriḥ?,"Onze bruidegom, wat een fris zeepje ben je,","24,25",,,,
iřaɣa,iřaɣa,2,ONBEKEND,"A muřay nneɣ zi mřitc i dd iřaɣa,","Onze bruidegom, wat een fris zeepje ben je,",24,,,,
watay,watay,2,ONBEKEND,min isarbar d řkas n watay a t ixedjeṣ.,"Onze bruidegom, wat een fris zeepje ben je,","24,26",,,,
tnayen,tnayen,2,ONBEKEND,"Řalla tasřit nneɣ am tnayen ibuyas,","O onze bruid, waarom huilt je moeder?","25,38",,,,
ibuyas,ibuyas,2,ONBEKEND,"Řalla tasřit nneɣ am tnayen ibuyas,","O onze bruid, waarom huilt je moeder?","25,38",,,,
aqqa,aqqa,2,ONBEKEND,aqqa ɣarem ayetma-m daysen ayrad d uɣiřas.,"O onze bruid, waarom huilt je moeder?","25,30",,,,
ɣarem,ɣarem,2,ONBEKEND,aqqa ɣarem ayetma-m daysen ayrad d uɣiřas.,"O onze bruid, waarom huilt je moeder?","25,27",,,,
ayrad,ayrad,2,ONBEKEND,aqqa ɣarem ayetma-m daysen ayrad d uɣiřas.,"O onze bruid, waarom huilt je moeder?","25,38",,,,
teqqim,teqqim,2,ONBEKEND,"Řalla tasrit nneɣ teqqim di řemraḥ,","O onze bruid, waarom huilt je moeder?","25,47",,,,
ibeɛɛed,ibeɛɛed,2,ONBEKEND,mařa din ca n zzin ini yas ad ibeɛɛed.,"O onze bruid, waarom huilt je moeder?","25,38",,,,
necca,necca,2,ONBEKEND,"Weḷḷah iřa necca weḷḷah iřa neswa,",Bij God wat hebben we gegeten en gedronken.,26,,,,
neswa,neswa,2,ONBEKEND,"Weḷḷah iřa necca weḷḷah iřa neswa,",Bij God wat hebben we gegeten en gedronken.,26,,,,
tegged,tegged,2,ONBEKEND,Sseny it idd x umuṭur tegged t idd awarn ac.,Bij God wat hebben we gegeten en gedronken.,"26,38",,,,
yennumen,yennumen,2,ONBEKEND,cemm yennumen asari cem yennumen anecceṭ.,"O onze bruid, met je wenkbrauwen als kammen,",27,,,,
newy,newy,2,ONBEKEND,"Weḷḷah iřa newy itt nehřa y ademmem,","O onze bruid, met je wenkbrauwen als kammen,",27,,,,
yeffud,yeffud,2,ONBEKEND,yeffud ic wuř inu amenn yeffud aɣi.,"O onze bruid, wees zo trots als een pauw,",28,,,,
řḥajj,řḥajj,2,ONBEKEND,"Muḥammed aw řḥajj yeɛdu dd zi řkebdani,","O onze bruid, wees zo trots als een pauw,",28,,,,
yeɛdu,yeɛdu,2,ONBEKEND,"Muḥammed aw řḥajj yeɛdu dd zi řkebdani,","O onze bruid, wees zo trots als een pauw,","28,30",,,,
nessuyes,nessuyes,2,ONBEKEND,leklam a t nessuyes am waman n wenẓar.,"O onze bruid, wees zo trots als een pauw,","28,30",,,,
nini,nini,2,ONBEKEND,Bismilla a nebda mammec as ɣa nini řux?,"O onze bruid, wees zo trots als een pauw,","28,29",,,,
ddsas,ddsas,2,ONBEKEND,am wi yebdan ddsas i temziyda a tt ibna.,"In naam van God beginnen we, zoals met de letter B,",29,,,,
ntiwi,ntiwi,2,ONBEKEND,a neɣzar ma ntawy itt dd niɣ war tt idd ntiwi ca.,"In naam van God beginnen we, zoals met de letter B,","29,46",,,,
cciṭan,cciṭan,2,ONBEKEND,"Bismilla a nebda cciṭan a t nessexza,","In naam van God beginnen we, zoals met de letter B,","29,38",,,,
tefřas,tefřas,2,ONBEKEND,Ini mac ma tennid a tazdat n tefřas.,"In naam van God beginnen we, zoals met de letter B,","29,35",,,,
atcun,atcun,2,ONBEKEND,"A wc ayi dd atcun nni ad cehhareɣ xwaři,","In naam van God beginnen we, Hij zal het vergemakkelijken,","30,31",,,,
řhem,řhem,2,ONBEKEND,cenna mařa yudef ɣa řbit war itif řhem.,"Allal zoon van Boumdian, hij verdient het te werken,","31,33",,,,
tteffaḥ,tteffaḥ,2,ONBEKEND,"A ya muřay nneɣ aya nnwaṛ n tteffaḥ,","Onze bruidegom heeft het echt gezegd,","32,33",,,,
icewwaṛ,icewwaṛ,2,ONBEKEND,muřay d amezyan i mecḥař icewwaṛ.,"Een Mercedes 250, versierd met bloemetjes,","33,36",,,,
ɛemmaṛs,ɛemmaṛs,2,ONBEKEND,yedji-m egg itt qa tehna ɛemmaṛs teẓra řhem.,"Een Mercedes 250, versierd met bloemetjes,","33,35",,,,
unebdu,unebdu,2,ONBEKEND,"Muřay muřay nneɣ iqaṛṛeb dd unebdu,","O onze bruidegom, de zomer is nabij,","34,40",,,,
iɛeddu,iɛeddu,2,ONBEKEND,cchaṛ n sebɛa yiweḍ dd aseggwas a war iɛeddu.,"O onze bruidegom, de zomer is nabij,","34,40",,,,
imezřan,imezřan,2,ONBEKEND,"Neccin degg wurar nnec a nekkes imezřan,","O onze bruidegom, de zomer is nabij,","34,40",,,,
necdeḥ,necdeḥ,2,ONBEKEND,a necdeḥ a nirar d taɣennant i yewdan.,"O onze bruidegom, de zomer is nabij,","34,40",,,,
taneqřect,taneqřect,2,ONBEKEND,"A ya muřay nneɣ taneqřect n zzitun,","O onze bruidegom, de zomer is nabij,","34,40",,,,
zzitun,zzitun,2,ONBEKEND,"A ya muřay nneɣ taneqřect n zzitun,","O onze bruidegom, de zomer is nabij,","34,40",,,,
yeɛdun,yeɛdun,2,ONBEKEND,urar aseggwas a ḥsen zegg inni yeɛdun.,"O onze bruidegom, de zomer is nabij,","34,40",,,,
řqařeb,řqařeb,2,ONBEKEND,"A ya muřay nneɣ a řqařeb n ssukar,","O onze bruidegom, de zomer is nabij,","34,40",,,,
necḍeḥ,necḍeḥ,2,ONBEKEND,neccin aqa nus dd a necḍeḥ a nirar.,"O onze bruidegom, de zomer is nabij,","34,40",,,,
yirar,yirar,2,ONBEKEND,cenna mařa yirar di řweṣt n wurar.,"O onze bruidegom, de zomer is nabij,","34,41",,,,
tfaṛḥ,tfaṛḥ,2,ONBEKEND,ass a d ameqqṛan maṛṛa a kidec tfaṛḥ.,"O onze bruidegom, loop over de binnenplaats,",35,,,,
tiqebḍin,tiqebḍin,2,ONBEKEND,"Řalla tasřit nneɣ tiqebḍin n aṛṛemman,","O onze bruidegom, loop over de binnenplaats,",35,,,,
taqedduḥt,taqedduḥt,2,ONBEKEND,"Řalla tasřit nneɣ taqedduḥt n ḍḍanun,","O onze bruid, alles aan je is mooi,","36,43",,,,
ntedɛa,ntedɛa,2,ONBEKEND,neccin ntedɛa akidem s řehna.,"O onze bruid, alles aan je is mooi,","36,37",,,,
mabṛuk,mabṛuk,2,ONBEKEND,"Řalla tasrit nneɣ mabṛuk d amimun,","O onze bruid, alles aan je is mooi,","36,44",,,,
yaṛeqqen,yaṛeqqen,2,ONBEKEND,"Řalla tasřit nneɣ a tcumɛett yaṛeqqen,","O onze bruid, wij bidden voor je,",37,,,,
talwizt,talwizt,2,ONBEKEND,"Řalla tasřit nneɣ a talwizt n xemsa,","O onze bruid, wij bidden voor je,","37,38",,,,
ladab,ladab,2,ONBEKEND,Aqemmum ideḥḥec d ladab aked yewdan.,"O onze bruid, wij bidden voor je,","37,42",,,,
aked,aked,2,ONBEKEND,Aqemmum ideḥḥec d ladab aked yewdan.,"O onze bruid, wij bidden voor je,","37,42",,,,
teqwis,teqwis,2,ONBEKEND,"Řalla tasřit nneɣ geɛɛed war teqwis,","O onze bruid, wij bidden voor je,","37,42",,,,
aɣiřas,aɣiřas,2,ONBEKEND,ijjen dayes ayrad ijjen dayes aɣiřas.,"O onze bruid, met haar twee riemen,","38,39",,,,
yaṛẓem,yaṛẓem,2,ONBEKEND,maṛṛa wi da dd yusin yaṛẓem dayem aqemmum.,"O onze bruid, met haar twee riemen,","38,43",,,,
dayem,dayem,2,ONBEKEND,maṛṛa wi da dd yusin yaṛẓem dayem aqemmum.,"O onze bruid, met haar twee riemen,","38,43",,,,
iḍeḥḥec,iḍeḥḥec,2,ONBEKEND,yeysi dd muřay nneɣ x tɣaṛṛabutt iḍeḥḥec.,"O onze bruid, met haar twee riemen,","38,42",,,,
ikessi,ikessi,2,ONBEKEND,"A ya muřay nneɣ řkabus war t ikessi,","O onze bruid, met haar twee riemen,",38,,,,
nenwi,nenwi,2,ONBEKEND,"A ya muřay nneɣ war nenwi manaya,","O onze bruid, met haar twee riemen,",38,,,,
řeḥwed,řeḥwed,2,ONBEKEND,"A tiḥramin nneɣ a řeḥwed n lleccin,","O onze bruidegom die twee winkels heeft,",39,,,,
ṣṣḥab,ṣṣḥab,2,ONBEKEND,"A ssalam uɛlikum a ṣṣḥab jjihett a,","Salam ulaykum, o mensen aan deze kant,",40,,,,
jjihett,jjihett,2,ONBEKEND,"A ssalam uɛlikum a ṣṣḥab jjihett a,","Salam ulaykum, o mensen aan deze kant,",40,,,,
yinni,yinni,2,ONBEKEND,urar n useggwas a ḥsen zegg yinni yeɛdun.,"Salam ulaykum, o mensen aan deze kant,","40,48",,,,
aɣeddu,aɣeddu,2,ONBEKEND,"A ya muřay nneɣ ay aɣeddu n nnwaṛ,","O onze bruidegom, o bloemstengel,","41,42",,,,
řḥewḍ,řḥewḍ,2,ONBEKEND,"A tiḥṛamin nneɣ kkint idd řḥewḍ n lleccin,","O gerespecteerde bruid, o snoepje dat een miljoen kost,",43,,,,
tiṭṭawin,tiṭṭawin,2,ONBEKEND,"A ya muřay nneɣ a tiṭṭawin n uyur,","O gerespecteerde bruid, o snoepje dat een miljoen kost,",43,,,,
dehcen,dehcen,2,ONBEKEND,"Muřay igga urar dehcen dd yiwdan ssa,","O gerespecteerde bruid, o snoepje dat een miljoen kost,",43,,,,
ařami,ařami,2,ONBEKEND,dehcen ařami ufin imřec zi lḥusima.,"O gerespecteerde bruid, o snoepje dat een miljoen kost,","43,44",,,,
suyetma,suyetma,2,ONBEKEND,"A tasřit teqqaṛ as a suyetma rubiɣ,","De bruidegom spreekt zonder op te scheppen,",44,,,,
mkuř,mkuř,2,ONBEKEND,"Sebɛa n timsayasin mkuř icten d aṛcem nnes,","Het einde van de autoweg is bereikt,",45,,,,
aɣaṛṛabu,aɣaṛṛabu,2,ONBEKEND,a yawařen n yiwdan qeřben aɣaṛṛabu.,"Het einde van de autoweg is bereikt,","45,46",,,,
nejj,nejj,2,ONBEKEND,"Yenna as a tt nejj war tt ntiwi,","Het geroddel van de mensen doet boten kapseizen,",46,,,,
imcumen,imcumen,2,ONBEKEND,Imcumen a icekkamen ugin a din wḍan.,"Het geroddel van de mensen doet boten kapseizen,","46,49",,,,
temted,temted,2,ONBEKEND,aqa ɛad a temted ad tinid semḥ ayi.,"Het geroddel van de mensen doet boten kapseizen,",46,,,,
yennuqaṛ,yennuqaṛ,2,ONBEKEND,"Taddart n mami ynu yennuqaṛ as dd ufiɣař,","Het huis van mijn lief is omringd door slangen,",48,,,,
yennan,yennan,2,ONBEKEND,am wen yennan řxar am wen yennan řɛib.,"Het huis van mijn lief is omringd door slangen,",48,,,,
iɛeffanen,iɛeffanen,2,ONBEKEND,Iwdan d iɛeffanen ḥda qbeř ma a tejra,"Het huis van mijn lief is omringd door slangen,",48,,,,

"=== SECTIE 3: VERVOEGDE VORMEN (freq>=2, len>=4) ==="
(Waarschijnlijk verbaalvormen — alleen toevoegen als je de basisvorm ook toevoegt)
tasřit,tasřit,33,VERVOEGDE VORM,Řalla tasřit nneɣ mayemmi tetru yemma-m?,"O onze bruid, waarom huilt je moeder?","25,27,28,32,35",,,,
taɣennant,taɣennant,8,VERVOEGDE VORM,inna ayi gg it degg fus nnem d taɣennant i muṛu.,"Ik kan de slaap niet vatten, ben verslaafd aan cocaїne,","7,8,17,21,34",,,,
dewřeɣ,dewřeɣ,5,VERVOEGDE VORM,"A ya řalla yemma dewřeɣ am lhawa,","Reik me jouw hand, ik hoop op een verbintenis","1,4,17,21",,,,
raḥeɣ,raḥeɣ,5,VERVOEGDE VORM,ttaksi i di ɣa raḥeɣ uyac a tenneqřeb.,"Ik kan de slaap niet vatten, ben verslaafd aan cocaїne,","7,9,11,47",,,,
qqimeɣ,qqimeɣ,5,VERVOEGDE VORM,"Ad raḥeɣ ad qqimeɣ mani yetɣima netta,","Ik ga zitten waar hij altijd zit,","9,11,47",,,,
awyeɣ,awyeɣ,4,VERVOEGDE VORM,jjent ayi a t awyeɣ a t arreɣ d akidar.,"Mijn hart verlangde naar je en ik had het niet kunnen dromen,","4,15,23",,,,
nnant,nnant,3,VERVOEGDE VORM,"Ɛeyybent ayi llif nnant ayi d aḥidar,","Mijn hart verlangde naar je en ik had het niet kunnen dromen,","4,17",,,,
arreɣ,arreɣ,3,VERVOEGDE VORM,jjent ayi a t awyeɣ a t arreɣ d akidar.,"Mijn hart verlangde naar je en ik had het niet kunnen dromen,","4,30",,,,
sseqsiɣ,sseqsiɣ,3,VERVOEGDE VORM,"Sseqsiɣ tet x umuni tenna ayi war zemmareɣ,","Ik vroeg haar verkering, zij zei: ik kan niet.","6,19",,,,
txadent,txadent,3,VERVOEGDE VORM,"Yewc ayi txadent d tazdat am ufiřu,","Ik kan de slaap niet vatten, ben verslaafd aan cocaїne,","7,8,36",,,,
ttruɣ,ttruɣ,3,VERVOEGDE VORM,"Min nniɣ war ttruɣ seɛɛa yessru y ayi,","Ik wilde niet huilen, maar toch liet hij me huilen,",14,,,,
thellaleɣ,thellaleɣ,3,VERVOEGDE VORM,"Kkareɣ thellaleɣ thellaleɣ i yetran,","Kom maar langs liefje en schroom niet,",16,,,,
ṛaḥeɣ,ṛaḥeɣ,3,VERVOEGDE VORM,"Ad ṛaḥeɣ ad sseqsiɣ ṭṭařeb di wejda,",Ik ga het aan een Koranstudent in Oujda vragen:,"19,47",,,,
irareɣ,irareɣ,3,VERVOEGDE VORM,"War dd usiɣ ad irareɣ s mya uřa s mitayen,",Bij God wat hebben we gegeten en gedronken.,"26,49",,,,
ɣenjent,ɣenjent,3,VERVOEGDE VORM,ɣenjent uca ɣenjent ḷḷah yenɛer temẓi.,"Allal zoon van Boumdian, hij verdient het te werken,","31,33",,,,
